IATA Code,Airport,City,COUNTRY,CONTINENT
NYI,Sunyani Airport,Sunyani,Ghana,AFRICA
HZO,Ho Airport,Ho,Ghana,AFRICA
WZA,Wa Airport,Wa,Ghana,AFRICA
TML,Tamale Airport,Tamale,Ghana,AFRICA
CKY,Conakry International Airport,Conakry,Guinea,AFRICA
OXB,Osvaldo Vieira International Airport,Bissau,Guinea-Bissau,AFRICA
BQE,Bubaque Airport,Bubaque,Guinea-Bissau,AFRICA
ROB,Roberts International Airport,Monrovia,Liberia,AFRICA
BKO,Modibo Keita International Airport,Bamako,Mali,AFRICA
NKC,Nouakchott–Oumtounsy International Airport,Nouakchott,Mauritania,AFRICA
NDB,Nouadhibou International Airport,Nouadhibou,Mauritania,AFRICA
ATR,Atar International Airport,Atar,Mauritania,AFRICA
NIM,Diori Hamani International Airport,Niamey,Niger,AFRICA
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,AFRICA
CBQ,Margaret Ekpo International Airport,Calabar,Nigeria,AFRICA
ABB,Asaba International Airport,"Asaba, Delta",Nigeria,AFRICA
KAN,Mallam Aminu Kano International Airport,Kano,Nigeria,AFRICA
LOS,Murtala Muhammed International Airport,Lagos,Nigeria,AFRICA
PHC,Port Harcourt International Airport,Port Harcourt,Nigeria,AFRICA
ENU,Akanu Ibiam International Airport,Enugu,Nigeria,AFRICA
SKO,Sadiq Abubakar III International Airport,Sokoto,Nigeria,AFRICA
HLE,Saint Helena Airport,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha",AFRICA
DSS,Blaise Diagne International Airport,Dakar,Senegal,AFRICA
FNA,Lungi International Airport,Freetown,Sierra Leone,AFRICA
LFW,Lomé–Tokoin International Airport,Lomé,Togo,AFRICA
LAD,Quatro de Fevereiro Airport,Luanda,Angola,AFRICA
SDD,Lubango Airport,Lubango,Angola,AFRICA
DLA,Douala International Airport,Douala,Cameroon,AFRICA
NSI,Yaoundé Nsimalen International Airport,Yaoundé,Cameroon,AFRICA
BGF,Bangui M'Poko International Airport,Bangui,Central African Republic,AFRICA
NDJ,N'Djamena International Airport,N'Djamena,Chad,AFRICA
GOM,Goma International Airport,Goma,Democratic Republic of the Congo,AFRICA
FIH,N'djili Airport,Kinshasa,Democratic Republic of the Congo,AFRICA
FKI,Kisangani Bangoka International Airport,Kisangani,Democratic Republic of the Congo,AFRICA
FBM,Lubumbashi International Airport,Lubumbashi,Democratic Republic of the Congo,AFRICA
BZV,Maya-Maya Airport,Brazzaville,Republic of the Congo,AFRICA
PNR,Agostinho-Neto International Airport,Pointe-Noire,Republic of the Congo,AFRICA
SSG,Malabo International Airport,Malabo,Equatorial Guinea,AFRICA
MVB,M'Vengue El Hadj Omar Bongo Ondimba International Airport,Franceville,Gabon,AFRICA
LBV,Léon-Mba International Airport,Libreville,Gabon,AFRICA
POG,Port-Gentil International Airport,Port-Gentil,Gabon,AFRICA
TMS,São Tomé International Airport,São Tomé,São Tomé and Príncipe,AFRICA
GBE,Sir Seretse Khama International Airport,Gaborone,Botswana,AFRICA
MUB,Maun Airport,Maun,Botswana,AFRICA
FRW,Francistown International Airport,Francistown,Botswana,AFRICA
BBK,Kasane Airport,Kasane,Botswana,AFRICA
SHO,King Mswati III International Airport,Manzini,Eswatini,AFRICA
MSU,Moshoeshoe I International Airport,Maseru,Lesotho,AFRICA
WDH,Hosea Kutako International Airport,Windhoek,Namibia,AFRICA
WVB,Walvis Bay Airport,Walvis Bay,Namibia,AFRICA
CPT,Cape Town International Airport,Cape Town,South Africa,AFRICA
DUR,King Shaka International Airport,Durban,South Africa,AFRICA
JNB,O. R. Tambo International Airport,Johannesburg,South Africa,AFRICA
HLA,Lanseria International Airport,Johannesburg,South Africa,AFRICA
MQP,Kruger Mpumalanga International Airport,Nelspruit,South Africa,AFRICA
BFN,Bram Fischer International Airport,Bloemfontein,South Africa,AFRICA
ELS,East London Airport,East London,South Africa,AFRICA
BJM,Bujumbura International Airport,Bujumbura,Burundi,AFRICA
HAH,Prince Said Ibrahim International Airport,Moroni,Comoros,AFRICA
JIB,Djibouti–Ambouli International Airport,Djibouti City,Djibouti,AFRICA
ASM,Asmara International Airport,Asmara,Eritrea,AFRICA
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,AFRICA
