IATA Code,Airport,City,COUNTRY,CONTINENT
MEM,Memphis International Airport,Memphis,United States,NORTH AMERICA
MIA,Miami International Airport,Miami,United States,NORTH AMERICA
MAF,Midland International Air and Space Port,Midland,United States,NORTH AMERICA
MKE,General Mitchell International Airport,Milwaukee,United States,NORTH AMERICA
MSP,Minneapolis–Saint Paul International Airport,Minneapolis/St. Paul,United States,NORTH AMERICA
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,NORTH AMERICA
BNA,Nashville International Airport,Nashville,United States,NORTH AMERICA
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,NORTH AMERICA
JFK,John F. Kennedy International Airport,New York City,United States,NORTH AMERICA
LGA,LaGuardia Airport,New York City,United States,NORTH AMERICA
EWR,Newark Liberty International Airport,Newark,United States,NORTH AMERICA
SWF,Stewart International Airport,Newburgh,United States,NORTH AMERICA
ORF,Norfolk International Airport,Norfolk (VA),United States,NORTH AMERICA
OAK,Oakland International Airport,Oakland,United States,NORTH AMERICA
OKC,Will Rogers World Airport,Oklahoma City,United States,NORTH AMERICA
OMA,Eppley Airfield,Omaha,United States,NORTH AMERICA
ONT,Ontario International Airport,Ontario,United States,NORTH AMERICA
SNA,John Wayne Airport,Orange County,United States,NORTH AMERICA
MCO,Orlando International Airport,Orlando,United States,NORTH AMERICA
SFB,Orlando Sanford International Airport,Orlando/Sanford,United States,NORTH AMERICA
PSP,Palm Springs International Airport,Palm Springs,United States,NORTH AMERICA
ECP,Northwest Florida Beaches International Airport,Panama City (FL),United States,NORTH AMERICA
PNS,Pensacola International Airport,Pensacola,United States,NORTH AMERICA
PHL,Philadelphia International Airport,Philadelphia,United States,NORTH AMERICA
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,NORTH AMERICA
AZA,Phoenix–Mesa Gateway Airport,Phoenix/Mesa,United States,NORTH AMERICA
PIT,Pittsburgh International Airport,Pittsburgh,United States,NORTH AMERICA
PWM,Portland International Jetport,Portland (ME),United States,NORTH AMERICA
PDX,Portland International Airport,Portland (OR),United States,NORTH AMERICA
PVD,Rhode Island T. F. Green International Airport,Providence,United States,NORTH AMERICA
RAC,Batten International Airport,Racine,United States,NORTH AMERICA
RDU,Raleigh–Durham International Airport,Raleigh/Durham,United States,NORTH AMERICA
RNO,Reno–Tahoe International Airport,Reno,United States,NORTH AMERICA
RIC,Richmond International Airport,Richmond (VA) (Sandston),United States,NORTH AMERICA
RST,Rochester International Airport,Rochester (MN),United States,NORTH AMERICA
ROC,Greater Rochester International Airport,Rochester (NY),United States,NORTH AMERICA
RFD,Chicago Rockford International Airport,Rockford (IL),United States,NORTH AMERICA
SMF,Sacramento International Airport,Sacramento,United States,NORTH AMERICA
SLC,Salt Lake City International Airport,Salt Lake City,United States,NORTH AMERICA
SAT,San Antonio International Airport,San Antonio,United States,NORTH AMERICA
SBD,San Bernardino International Airport,San Bernardino,United States,NORTH AMERICA
SAN,San Diego International Airport,San Diego,United States,NORTH AMERICA
SFO,San Francisco International Airport,San Francisco,United States,NORTH AMERICA
SJC,San Jose International Airport,San Jose (CA),United States,NORTH AMERICA
SRQ,Sarasota–Bradenton International Airport,Sarasota/Bradenton,United States,NORTH AMERICA
SAV,Savannah/Hilton Head International Airport,Savannah (GA)/Hilton Head (SC),United States,NORTH AMERICA
LKE,Kenmore Air Harbor Seaplane Base,Seattle,United States,NORTH AMERICA
BFI,King County International Airport,Seattle,United States,NORTH AMERICA
SEA,Seattle–Tacoma International Airport,Seattle,United States,NORTH AMERICA
SBM,Sheboygan County Memorial Airport,Sheboygan,United States,NORTH AMERICA
PAE,Paine Field,Snohomish County (WA),United States,NORTH AMERICA
GEG,Spokane International Airport,Spokane,United States,NORTH AMERICA
STL,St. Louis Lambert International Airport,St. Louis,United States,NORTH AMERICA
PIE,St. Pete–Clearwater International Airport,St. Petersburg (FL),United States,NORTH AMERICA
SYR,Syracuse Hancock International Airport,Syracuse,United States,NORTH AMERICA
TLH,Tallahassee International Airport,Tallahassee,United States,NORTH AMERICA
TPA,Tampa International Airport,Tampa,United States,NORTH AMERICA
TUS,Tucson International Airport,Tucson,United States,NORTH AMERICA
TUL,Tulsa International Airport,Tulsa,United States,NORTH AMERICA
DCA,Ronald Reagan Washington National Airport**,"Washington, D.C.",United States,NORTH AMERICA
IAD,Dulles International Airport,"Washington, D.C.",United States,NORTH AMERICA
PBI,Palm Beach International Airport,West Palm Beach,United States,NORTH AMERICA
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,United States,NORTH AMERICA
ILM,Wilmington International Airport,Wilmington (NC),United States,NORTH AMERICA
EZE,Ministro Pistarini International Airport,Buenos Aires,Argentina,SOUTH AMERICA
AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,SOUTH AMERICA
BRC,San Carlos de Bariloche Airport,Bariloche,Argentina,SOUTH AMERICA
COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Córdoba,Argentina,SOUTH AMERICA
MDZ,Governor Francisco Gabrielli International Airport,Mendoza,Argentina,SOUTH AMERICA
IGR,Cataratas del Iguazú International Airport,Puerto Iguazú,Argentina,SOUTH AMERICA
RES,Resistencia International Airport,Resistencia,Argentina,SOUTH AMERICA
RGL,Piloto Civil Norberto Fernández International Airport,Río Gallegos,Argentina,SOUTH AMERICA
USH,Ushuaia – Malvinas Argentinas International Airport,Ushuaia,Argentina,SOUTH AMERICA
LPB,El Alto International Airport,La Paz,Bolivia,SOUTH AMERICA
VVI,Viru Viru International Airport,Santa Cruz de la Sierra,Bolivia,SOUTH AMERICA
CBB,Jorge Wilstermann International Airport,Cochabamba,Bolivia,SOUTH AMERICA
AJU,Santa Maria Airport,Aracaju,Brazil,SOUTH AMERICA
BEL,Val de Cães International Airport,Belém,Brazil,SOUTH AMERICA
CNF,Tancredo Neves International Airport,Belo Horizonte,Brazil,SOUTH AMERICA
BVB,Boa Vista International Airport,Boa Vista,Brazil,SOUTH AMERICA
BSB,Brasília International Airport,Brasília,Brazil,SOUTH AMERICA
VCP,Viracopos International Airport,Campinas,Brazil,SOUTH AMERICA
CGR,Campo Grande International Airport,Campo Grande,Brazil,SOUTH AMERICA
CGB,Marechal Rondon International Airport,Cuiabá,Brazil,SOUTH AMERICA
CWB,Afonso Pena International Airport,Curitiba,Brazil,SOUTH AMERICA
FLN,Hercílio Luz International Airport,Florianópolis,Brazil,SOUTH AMERICA
FOR,Pinto Martins International Airport,Fortaleza,Brazil,SOUTH AMERICA
IGU,Foz do Iguaçu International Airport,Foz do Iguaçu,Brazil,SOUTH AMERICA
GYN,Santa Genoveva Airport,Goiânia,Brazil,SOUTH AMERICA
JPA,Presidente Castro Pinto International Airport,João Pessoa,Brazil,SOUTH AMERICA
MCZ,Zumbi dos Palmares International Airport,Maceió,Brazil,SOUTH AMERICA
MAO,Eduardo Gomes International Airport,Manaus,Brazil,SOUTH AMERICA
NAT,Greater Natal International Airport,Natal,Brazil,SOUTH AMERICA
PNZ,Petrolina Airport,Petrolina,Brazil,SOUTH AMERICA
POA,Salgado Filho Porto Alegre International Airport,Porto Alegre,Brazil,SOUTH AMERICA
PVH,Governador Jorge Teixeira de Oliveira International Airport,Porto Velho,Brazil,SOUTH AMERICA
REC,Guararapes International Airport,Recife,Brazil,SOUTH AMERICA
RBR,Rio Branco International Airport,Rio Branco,Brazil,SOUTH AMERICA
GIG,Rio de Janeiro/Galeão International Airport,Rio de Janeiro,Brazil,SOUTH AMERICA
SDU,Santos Dumont Airport,Rio de Janeiro,Brazil,SOUTH AMERICA
SSA,Deputado Luís Eduardo Magalhães International Airport,Salvador,Brazil,SOUTH AMERICA
SLZ,Marechal Cunha Machado International Airport,São Luís,Brazil,SOUTH AMERICA
CGH,São Paulo–Congonhas Airport,São Paulo,Brazil,SOUTH AMERICA
GRU,São Paulo/Guarulhos International Airport,São Paulo,Brazil,SOUTH AMERICA
THE,Teresina Airport,Teresina,Brazil,SOUTH AMERICA
UDI,Uberlândia Airport,Uberlândia,Brazil,SOUTH AMERICA
VIX,Eurico de Aguiar Salles Airport,Vitória,Brazil,SOUTH AMERICA
ANF,Andrés Sabella Gálvez International Airport,Antofagasta,Chile,SOUTH AMERICA
CCP,Carriel Sur International Airport,Concepción,Chile,SOUTH AMERICA
PMC,El Tepual International Airport,Puerto Montt,Chile,SOUTH AMERICA
PUQ,Presidente Carlos Ibáñez del Campo International Airport,Punta Arenas,Chile,SOUTH AMERICA
SCL,Arturo Merino Benítez International Airport,Santiago,Chile,SOUTH AMERICA
AXM,El Edén International Airport,Armenia,Colombia,SOUTH AMERICA
BAQ,Ernesto Cortissoz International Airport,Barranquilla,Colombia,SOUTH AMERICA
BOG,El Dorado International Airport,Bogotá,Colombia,SOUTH AMERICA
BGA,Palonegro International Airport,Bucaramanga,Colombia,SOUTH AMERICA
BUN,Gerardo Tobar López Airport,Buenaventura,Colombia,SOUTH AMERICA
CLO,Alfonso Bonilla Aragón International Airport,Cali,Colombia,SOUTH AMERICA
CTG,Rafael Núñez International Airport,Cartagena,Colombia,SOUTH AMERICA
CUC,Camilo Daza International Airport,Cúcuta,Colombia,SOUTH AMERICA
IBE,Perales Airport,Ibagué,Colombia,SOUTH AMERICA
IPI,San Luis Airport,Ipiales,Colombia,SOUTH AMERICA
FLA,Gustavo Artunduaga Paredes Airport,Florencia,Colombia,SOUTH AMERICA
LET,Alfredo Vásquez Cobo International Airport,Leticia,Colombia,SOUTH AMERICA
MCJ,Jorge Isaacs Airport,Maicao,Colombia,SOUTH AMERICA
MZL,La Nubia Airport,Manizales,Colombia,SOUTH AMERICA
MDE,José María Córdova International Airport,Medellín,Colombia,SOUTH AMERICA
MVP,Fabio Alberto León Bentley Airport,Mitú,Colombia,SOUTH AMERICA
MTR,Los Garzones Airport,Montería,Colombia,SOUTH AMERICA
NVA,Benito Salas Airport,Neiva,Colombia,SOUTH AMERICA
PSO,Antonio Nariño Airport,Pasto,Colombia,SOUTH AMERICA
PEI,Matecaña International Airport,Pereira,Colombia,SOUTH AMERICA
PPN,Guillermo León Valencia Airport,Popayán,Colombia,SOUTH AMERICA
PVA,El Embrujo Airport,Providence Island,Colombia,SOUTH AMERICA
UIB,El Caraño Airport,Quibdó,Colombia,SOUTH AMERICA
RCH,Almirante Padilla Airport,Riohacha,Colombia,SOUTH AMERICA
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,Colombia,SOUTH AMERICA
TLU,Golfo de Morrosquillo Airport,Tolú,Colombia,SOUTH AMERICA
TCO,La Florida Airport,Tumaco,Colombia,SOUTH AMERICA
SMR,Simón Bolívar International Airport,Santa Marta,Colombia,SOUTH AMERICA
CZU,Las Brujas Airport,Sincelejo,Colombia,SOUTH AMERICA
VUP,Alfonso López Pumarejo Airport,Valledupar,Colombia,SOUTH AMERICA
VVC,La Vanguardia Airport,Villavicencio,Colombia,SOUTH AMERICA
EYP,El Alcaraván Airport,Yopal,Colombia,SOUTH AMERICA
CUE,Mariscal Lamar International Airport,Cuenca,Ecuador,SOUTH AMERICA
ESM,Carlos Concha Torres International Airport,Esmeraldas,Ecuador,SOUTH AMERICA
GYE,José Joaquín de Olmedo International Airport,Guayaquil,Ecuador,SOUTH AMERICA
ETR,Santa Rosa International Airport,Machala,Ecuador,SOUTH AMERICA
MEC,Eloy Alfaro International Airport,Manta,Ecuador,SOUTH AMERICA
UIO,Mariscal Sucre International Airport,Quito,Ecuador,SOUTH AMERICA
TUA,Teniente Coronel Luis a Mantilla International Airport,Tulcán,Ecuador,SOUTH AMERICA
MPN,RAF Mount Pleasant,Mount Pleasant,Falkland Islands,SOUTH AMERICA
CAY,Cayenne – Félix Eboué Airport,Cayenne,French Guiana,SOUTH AMERICA
GEO,Cheddi Jagan International Airport,Georgetown,Guyana,SOUTH AMERICA
ASU,Silvio Pettirossi International Airport,Asunción,Paraguay,SOUTH AMERICA
AGT,Guaraní International Airport,Ciudad del Este,Paraguay,SOUTH AMERICA
AQP,Rodríguez Ballón International Airport,Arequipa,Peru,SOUTH AMERICA
CUZ,Alejandro Velasco Astete International Airport,Cusco,Peru,SOUTH AMERICA
LIM,Jorge Chávez International Airport,Lima,Peru,SOUTH AMERICA
PBM,Johan Adolf Pengel International Airport,Paramaribo,Suriname,SOUTH AMERICA
MVD,Carrasco International Airport,Montevideo,Uruguay,SOUTH AMERICA
PDP,Capitán de Corbeta Carlos A. Curbelo International Airport,Punta del Este,Uruguay,SOUTH AMERICA
RVY,Rivera International Airport,Rivera,Uruguay,SOUTH AMERICA
CCS,Simón Bolívar International Airport,Caracas,Venezuela,SOUTH AMERICA
MAR,La Chinita International Airport,Maracaibo,Venezuela,SOUTH AMERICA
VLN,Arturo Michelena International Airport,Valencia,Venezuela,SOUTH AMERICA
SCO,Aktau Airport,Aktau,Kazakhstan,CENTRAL ASIA
AKX,Aktobe International Airport,Aktobe,Kazakhstan,CENTRAL ASIA
ALA,Almaty International Airport,Almaty,Kazakhstan,CENTRAL ASIA
GUW,Atyrau Airport,Atyrau,Kazakhstan,CENTRAL ASIA
KGF,Karaganda Airport,Karaganda,Kazakhstan,CENTRAL ASIA
KOV,Kokshetau Airport,Kokshetau,Kazakhstan,CENTRAL ASIA
KSN,Kostanay Airport,Kostanay,Kazakhstan,CENTRAL ASIA
KZO,Kyzylorda Airport,Kyzylorda,Kazakhstan,CENTRAL ASIA
NQZ,Nursultan Nazarbayev International Airport,Nur-Sultan,Kazakhstan,CENTRAL ASIA
URA,Oral Ak Zhol Airport,Oral,Kazakhstan,CENTRAL ASIA
UKK,Oskemen Airport,Oskemen,Kazakhstan,CENTRAL ASIA
PWQ,Pavlodar Airport,Pavlodar,Kazakhstan,CENTRAL ASIA
PPK,Petropavl Airport,Petropavl,Kazakhstan,CENTRAL ASIA
PLX,Semey Airport,Semey,Kazakhstan,CENTRAL ASIA
CIT,Shymkent Airport,Shymkent,Kazakhstan,CENTRAL ASIA
DMB,Taraz Airport,Taraz,Kazakhstan,CENTRAL ASIA
FRU,Manas International Airport,Bishkek,Kyrgyzstan,CENTRAL ASIA
IKU,Issyk-Kul International Airport,Issyk-Kul,Kyrgyzstan,CENTRAL ASIA
IKU,Karakol International Airport,Karakol,Kyrgyzstan,CENTRAL ASIA
OSS,Osh Airport,Osh,Kyrgyzstan,CENTRAL ASIA
KQT,Bokhtar International Airport,Bokhtar,Tajikistan,CENTRAL ASIA
DYU,Dushanbe Airport,Dushanbe,Tajikistan,CENTRAL ASIA
LBD,Khujand Airport,Khujand,Tajikistan,CENTRAL ASIA
TJU,Kulob Airport,Kulob,Tajikistan,CENTRAL ASIA
ASB,Ashgabat Airport,Ashgabat,Turkmenistan,CENTRAL ASIA
TAZ,Daşoguz Airport,Daşoguz,Turkmenistan,CENTRAL ASIA
MYP,Mary International Airport,Mary,Turkmenistan,CENTRAL ASIA
KRW,Turkmenbashi International Airport,Turkmenbashi,Turkmenistan,CENTRAL ASIA
CRZ,Turkmenabat International Airport,Türkmenabat,Turkmenistan,CENTRAL ASIA
AZN,Andizhan Airport,Andijan,Uzbekistan,CENTRAL ASIA
BHK,Bukhara International Airport,Bukhara,Uzbekistan,CENTRAL ASIA
FEG,Fergana International Airport,Fergana,Uzbekistan,CENTRAL ASIA
KSQ,Karshi Airport,Qarshi,Uzbekistan,CENTRAL ASIA
NMA,Namangan Airport,Namangan,Uzbekistan,CENTRAL ASIA
NVI,Navoi International Airport,Navoi,Uzbekistan,CENTRAL ASIA
NCU,Nukus Airport,Nukus,Uzbekistan,CENTRAL ASIA
SKD,Samarkand International Airport,Samarkand,Uzbekistan,CENTRAL ASIA
TAS,Islam Karimov Tashkent International Airport,Tashkent,Uzbekistan,CENTRAL ASIA
TMJ,Termez Airport,Termez,Uzbekistan,CENTRAL ASIA
UGC,Urgench International Airport,Urgench,Uzbekistan,CENTRAL ASIA
FNJ,Pyongyang International Airport,Pyongyang,North Korea,EAST ASIA
AXT,Akita Airport,Akita,Japan,EAST ASIA
AOJ,Aomori Airport,Aomori,Japan,EAST ASIA
FUK,Fukuoka Airport,Fukuoka,Japan,EAST ASIA
HKD,Hakodate Airport,Hakodate,Japan,EAST ASIA
KOJ,Kagoshima Airport,Kagoshima,Japan,EAST ASIA
KMQ,Komatsu Airport,Komatsu,Japan,EAST ASIA
HIJ,Hiroshima Airport,Hiroshima,Japan,EAST ASIA
KKJ,Kitakyushu Airport,Kitakyushu,Japan,EAST ASIA
NGS,Nagasaki Airport,Nagasaki,Japan,EAST ASIA
OKA,Naha Airport,Naha,Japan,EAST ASIA
NGO,Chubu Centrair International Airport,Nagoya,Japan,EAST ASIA
KIJ,Niigata Airport,Niigata,Japan,EAST ASIA
OIT,Oita Airport,Ōita,Japan,EAST ASIA
OKJ,Okayama Airport,Okayama,Japan,EAST ASIA
KIX,Kansai International Airport,Osaka,Japan,EAST ASIA
CTS,New Chitose Airport,Sapporo,Japan,EAST ASIA
SDJ,Sendai Airport,Sendai,Japan,EAST ASIA
FSZ,Shizuoka Airport,Shizuoka,Japan,EAST ASIA
HND,Haneda Airport,Tokyo,Japan,EAST ASIA
NRT,Narita International Airport,Tokyo,Japan,EAST ASIA
ULN,Chinggis Khaan International Airport,Ulaanbaatar,Mongolia,EAST ASIA
BAV,Baotou Donghe Airport,Baotou,China,EAST ASIA
BHY,Beihai Fucheng Airport,Beihai,China,EAST ASIA
PEK,Beijing Capital International Airport,Beijing,China,EAST ASIA
PKX,Beijing Daxing International Airport,Beijing,China,EAST ASIA
CGQ,Changchun Longjia International Airport,Changchun,China,EAST ASIA
CSX,Changsha Huanghua International Airport,Changsha,China,EAST ASIA
CZX,Changzhou Benniu International Airport,Changzhou,China,EAST ASIA
CTU,Chengdu Shuangliu International Airport,Chengdu,China,EAST ASIA
TFU,Chengdu Tianfu International Airport,Chengdu,China,EAST ASIA
CKG,Chongqing Jiangbei International Airport,Chongqing,China,EAST ASIA
DLC,Dalian Zhoushuizi International Airport,Dalian,China,EAST ASIA
DDG,Dandong Langtou Airport,Dandong,China,EAST ASIA
DAT,Datong Yungang Airport,Datong,China,EAST ASIA
DNH,Dunhuang Mogao International Airport,Dunhuang,China,EAST ASIA
ENH,Enshi Xujiaping Airport,Enshi City,China,EAST ASIA
FOC,Fuzhou Changle International Airport,Fuzhou,China,EAST ASIA
KOW,Ganzhou Huangjin Airport,Ganzhou,China,EAST ASIA
CAN,Guangzhou Baiyun International Airport,Guangzhou,China,EAST ASIA
KWL,Guilin Liangjiang International Airport,Guilin,China,EAST ASIA
KWE,Guiyang Longdongbao International Airport,Guiyang,China,EAST ASIA
HAK,Haikou Meilan International Airport,Haikou,China,EAST ASIA
HGH,Hangzhou Xiaoshan International Airport,Hangzhou,China,EAST ASIA
HRB,Harbin Taiping International Airport,Harbin,China,EAST ASIA
HFE,Hefei Xinqiao International Airport,Hefei,China,EAST ASIA
HEK,Heihe Aihui Airport,Heihe,China,EAST ASIA
HET,Hohhot Baita International Airport,Hohhot,China,EAST ASIA
HIA,Huai'an Lianshui International Airport,Huai'an,China,EAST ASIA
TXN,Huangshan Tunxi International Airport,Huangshan City,China,EAST ASIA
HLD,Hulunbuir Hailar Airport,Hulunbuir,China,EAST ASIA
JMU,Jiamusi Dongjiao Airport,Jiamusi,China,EAST ASIA
SWA,Jieyang Chaoshan International Airport,Jieyang,China,EAST ASIA
TNA,Jinan Yaoqiang International Airport,Jinan,China,EAST ASIA
KMG,Kunming Changshui International Airport,Kunming,China,EAST ASIA
LHW,Lanzhou Zhongchuan International Airport,Lanzhou,China,EAST ASIA
LXA,Lhasa Gonggar Airport,Lhasa,China,EAST ASIA
LYG,Lianyungang Baitabu Airport,Lianyungang,China,EAST ASIA
LJG,Lijiang Sanyi International Airport,Lijiang,China,EAST ASIA
LYI,Linyi Qiyang Airport,Linyi,China,EAST ASIA
LYA,Luoyang Beijiao Airport,Luoyang,China,EAST ASIA
LUM,Dehong Mangshi Airport,Mangshi,China,EAST ASIA
NZH,Manzhouli Xijiao Airport,Manzhouli,China,EAST ASIA
MXZ,Meixian Airport,Meizhou,China,EAST ASIA
MDG,Mudanjiang Hailang International Airport,Mudanjiang,China,EAST ASIA
KHN,Nanchang Changbei International Airport,Nanchang,China,EAST ASIA
NKG,Nanjing Lukou International Airport,Nanjing,China,EAST ASIA
NNG,Nanning Wuxu International Airport,Nanning,China,EAST ASIA
NTG,Nantong Xingdong International Airport,Nantong,China,EAST ASIA
NGB,Ningbo Lishe International Airport,Ningbo,China,EAST ASIA
DSN,Ordos Ejin Horo International Airport,Ordos City,China,EAST ASIA
TAO,Qingdao Jiaodong International Airport,Qingdao,China,EAST ASIA
BPE,Qinhuangdao Beidaihe Airport,Qinhuangdao,China,EAST ASIA
NDG,Qiqihar Sanjiazi Airport,Qiqihar,China,EAST ASIA
JJN,Quanzhou Jinjiang International Airport,Quanzhou,China,EAST ASIA
SYX,Sanya Phoenix International Airport,Sanya,China,EAST ASIA
SHA,Shanghai Hongqiao International Airport,Shanghai,China,EAST ASIA
PVG,Shanghai Pudong International Airport,Shanghai,China,EAST ASIA
SHE,Shenyang Taoxian International Airport,Shenyang,China,EAST ASIA
SZX,Shenzhen Bao'an International Airport,Shenzhen,China,EAST ASIA
SJW,Shijiazhuang Zhengding International Airport,Shijiazhuang,China,EAST ASIA
TYN,Taiyuan Wusu International Airport,Taiyuan,China,EAST ASIA
TSN,Tianjin Binhai International Airport,Tianjin,China,EAST ASIA
UCB,Ulanqab Jining Airport,Ulanqab,China,EAST ASIA
URC,Ürümqi Diwopu International Airport,Ürümqi,China,EAST ASIA
WXN,Wanzhou Wuqiao Airport,Wanzhou,China,EAST ASIA
WEH,Weihai Dashuibo Airport,Weihai,China,EAST ASIA
WNZ,Wenzhou Yongqiang Airport,Wenzhou,China,EAST ASIA
WUH,Wuhan Tianhe International Airport,Wuhan,China,EAST ASIA
WUX,Sunan Shuofang International Airport,Wuxi,China,EAST ASIA
WUS,Wuyishan Airport,Wuyishan,China,EAST ASIA
XMN,Xiamen Gaoqi International Airport,Xiamen,China,EAST ASIA
XIY,Xi'an Xianyang International Airport,Xi'an,China,EAST ASIA
XNN,Xining Caojiabao International Airport,Xining,China,EAST ASIA
WUT,Xinzhou Wutaishan Airport,Xinzhou,China,EAST ASIA
JHG,Xishuangbanna Gasa International Airport,Xishuangbanna,China,EAST ASIA
XUZ,Xuzhou Guanyin Airport,Xuzhou,China,EAST ASIA
YNZ,Yancheng Nanyang Airport,Yancheng,China,EAST ASIA
YTY,Yangzhou Taizhou International Airport,Yangzhou,China,EAST ASIA
YNJ,Yanji Airport,Yanji,China,EAST ASIA
YNT,Yantai Penglai International Airport,Yantai,China,EAST ASIA
YIH,Yichang Sanxia Airport,Yichang,China,EAST ASIA
INC,Yinchuan Hedong International Airport,Yinchuan,China,EAST ASIA
YIW,Yiwu Airport,Yiwu,China,EAST ASIA
YCU,Yuncheng Guangong Airport,Yuncheng,China,EAST ASIA
DYG,Zhangjiajie Hehua Airport,Zhangjiajie,China,EAST ASIA
ZHA,Zhanjiang Wuchuan Airport,Zhanjiang,China,EAST ASIA
CGO,Zhengzhou Xinzheng International Airport,Zhengzhou,China,EAST ASIA
ZUH,Zhuhai Jinwan Airport,Zhuhai,China,EAST ASIA
ZYI,Zunyi Xinzhou Airport,Zunyi,China,EAST ASIA
HKG,Hong Kong International Airport,Hong Kong,Hong Kong,EAST ASIA
MFM,Macau International Airport,Macau,Macau,EAST ASIA
HUN,Hualien Airport,Hualien City,Taiwan,EAST ASIA
KHH,Kaohsiung International Airport,Kaohsiung,Taiwan,EAST ASIA
RMQ,Taichung International Airport,Taichung,Taiwan,EAST ASIA
TNN,Tainan Airport,Tainan,Taiwan,EAST ASIA
TSA,Taipei Songshan Airport,Taipei,Taiwan,EAST ASIA
TPE,Taoyuan International Airport,Taoyuan,Taiwan,EAST ASIA
PUS,Gimhae International Airport,Busan,South Korea,EAST ASIA
TAE,Daegu International Airport,Daegu,South Korea,EAST ASIA
CJU,Jeju International Airport,Jeju,South Korea,EAST ASIA
GMP,Gimpo International Airport,Seoul,South Korea,EAST ASIA
ICN,Incheon International Airport,Seoul,South Korea,EAST ASIA
CJJ,Cheongju International Airport,Cheongju,South Korea,EAST ASIA
MWX,Muan International Airport,Muan,South Korea,EAST ASIA
YNY,Yangyang International Airport,Yangyang,South Korea,EAST ASIA
CGP,Shah Amanat International Airport,Chittagong,Bangladesh,SOUTH ASIA
DAC,Shahjalal International Airport,Dhaka,Bangladesh,SOUTH ASIA
ZYL,Osmani International Airport,Sylhet,Bangladesh,SOUTH ASIA
PBH,Paro Airport,Paro,Bhutan,SOUTH ASIA
IXA,Maharaja Bir Bikram Airport,Agartala,India,SOUTH ASIA
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,SOUTH ASIA
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,SOUTH ASIA
BLR,Kempegowda International Airport,Bangalore,India,SOUTH ASIA
BBI,Biju Patnaik Airport,Bhubaneswar,India,SOUTH ASIA
MAA,Chennai International Airport,Chennai,India,SOUTH ASIA
CJB,Coimbatore International Airport,Coimbatore,India,SOUTH ASIA
DEL,Indira Gandhi International Airport,Delhi,India,SOUTH ASIA
GOI,Dabolim Airport,Goa,India,SOUTH ASIA
GAY,Gaya Airport,Gaya,India,SOUTH ASIA
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,SOUTH ASIA
HYD,Rajiv Gandhi International Airport,Hyderabad,India,SOUTH ASIA
IMF,Imphal Airport,Imphal,India,SOUTH ASIA
IDR,Devi Ahilya Bai Holkar Airport,Indore,India,SOUTH ASIA
JAI,Jaipur International Airport,Jaipur,India,SOUTH ASIA
CNN,Kannur International Airport,Kannur,India,SOUTH ASIA
COK,Cochin International Airport,Kochi,India,SOUTH ASIA
CCU,Netaji Subhas Chandra Bose International Airport,Kolkata,India,SOUTH ASIA
CCJ,Calicut International Airport,Kozhikode,India,SOUTH ASIA
LKO,Chaudhary Charan Singh Airport,Lucknow,India,SOUTH ASIA
IXM,Madurai Airport,Madurai,India,SOUTH ASIA
IXE,Mangalore International Airport,Mangalore,India,SOUTH ASIA
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai,India,SOUTH ASIA
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur,India,SOUTH ASIA
PNQ,Pune Airport,Pune,India,SOUTH ASIA
IXR,Birsa Munda Airport,Ranchi,India,SOUTH ASIA
IXB,Bagdogra Airport,Siliguri,India,SOUTH ASIA
SXR,Sheikh ul-Alam International Airport,Srinagar,India,SOUTH ASIA
STV,Surat Airport,Surat,India,SOUTH ASIA
TRV,Trivandrum International Airport,Thiruvananthapuram,India,SOUTH ASIA
TIR,Tirupati International Airport,Tirupati,India,SOUTH ASIA
TRZ,Tiruchirappalli International Airport,Trichy,India,SOUTH ASIA
BDQ,Vadodara Airport,Vadodara,India,SOUTH ASIA
VNS,Lal Bahadur Shastri Airport,Varanasi,India,SOUTH ASIA
VGA,NTR Amaravati International Airport,Vijayawada,India,SOUTH ASIA
VTZ,Visakhapatnam International Airport,Visakhapatnam,India,SOUTH ASIA
MLE,Velana International Airport,Malé,Maldives,SOUTH ASIA
GAN,Gan International Airport,Addu City,Maldives,SOUTH ASIA
HAQ,Hanimaadhoo International Airport,Hanimaadhoo,Maldives,SOUTH ASIA
VAM,Villa International Airport Maamigili,Maamigili,Maldives,SOUTH ASIA
NMF,Maafaru International Airport,Maafaru,Maldives,SOUTH ASIA
KTM,Tribhuvan International Airport,Kathmandu,Nepal,SOUTH ASIA
BWA,Gautam Buddha International Airport,Bhairahawa,Nepal,SOUTH ASIA
PKR,Pokhara Regional International Airport,Pokhara,Nepal,SOUTH ASIA
